state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases
SD,,,state,4/15/2020,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,Lehigh,42077,county,6/26/2020,Phase 2,start,"Policy_Details: Lehigh County is moving into the green phase on June 26 Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/",sip_submission_form: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/,
NY,Richmond,36085,county,6/8/2020,Wholesale Trade,start,"Policy_Details: Construction
Agriculture, Forestry, Fishing and Hunting
Retail - (Limited to curbside or in-store pickup or drop off)
Manufacturing
Wholesale Trade Phase Level: 1, Phase Details Source information: https://forward.ny.gov/phase-one-industries",sip_submission_form: https://forward.ny.gov/phase-one-industries,
PA,Butler County,42019,county,3/27/2020,Shelter in Place,start,Butler County Policy Start,wikidata,
NE,Cedar,31027,county,4/3/2020,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
OH,Lawrence,39087,county,7/23/2020,Public Health Advisory System,start,"Policy_Details: counties upgraded to Red Alert Level 3 must limit gatherings of any number, consider necessary travel only, and decrease in-person interactions    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20",sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20,
TX,Tarrant County,48439,county,3/24/2020,Shelter in Place,start,Tarrant County Policy Start,wikidata,
OK,,,state,3/24/2020,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
AR,,,state,3/19/2020,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
NY,Kings,36047,county,7/6/2020,Phase 3,start,Policy_Details: New York City enters phase 3.  Non-essential businesses such as personal care may reopn    Source information: https://forward.ny.gov/new-york-city-phase-three-industries,sip_submission_form: https://forward.ny.gov/new-york-city-phase-three-industries,
WY,,,state,3/13/2020,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MN,,,state,3/28/2020,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
ND,Griggs,38039,county,9/3/2020,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo) & Retail
- Operate under heightened hygiene and cleaning standards.
- Monitor employees for symptoms.
- Resume to normal capacity of foodservice operations while continuing to follow new protocols.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
DC,,,state,4/6/2020,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
CO,,,state,4/23/2020,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MO,St. Louis city,29510,county,3/23/2020,Shelter in Place,start,St. Louis city Policy Start,wikidata,
ND,,,state,3/24/2020,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NE,,,state,3/23/2020,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
NE,York,31185,county,3/28/2020,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
NH,,,state,3/27/2020,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NY,New York,36061,county,6/8/2020,Manufacturing,start,"Policy_Details: New York City (All counties) to enter phase 1 June 8th.  Retail limited to curbside.  Phase Level: 1, Phase Details Source information: https://coronavirus.health.ny.gov/home",sip_submission_form: https://coronavirus.health.ny.gov/home,
AR,,,state,4/27/2020,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MS,,,state,4/1/2020,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
FL,Broward,12011,county,7/3/2020,Outdoor and Recreation,start,"Policy_Details: County Administrator emergency order 20-19: All beaches in Broward County shall be closed from 12:01 a.m. on Friday, July 3, until 11 :59 p.m. on Sunday, July 5.   Source information: https://www.broward.org/CoronaVirus/Documents/EmergencyOrder20-19.pdf",sip_submission_form: https://www.broward.org/CoronaVirus/Documents/EmergencyOrder20-19.pdf,
UT,Kane,49025,county,6/12/2020,Phase 4,start,"Policy_Details: Governor Herbert is moving Kane County to Phase 4, or the green phase, which is the ""new normal"" Phase Level: 4, Phase Details Source information: https://coronavirus.utah.gov/governor-issues-executive-order-adopting-updated-guidelines-as-well-as-transitions-kane-county-to-green-health-risk-status-and-bluff-and-mexican-hat-to-yellow/",sip_submission_form: https://coronavirus.utah.gov/governor-issues-executive-order-adopting-updated-guidelines-as-well-as-transitions-kane-county-to-green-health-risk-status-and-bluff-and-mexican-hat-to-yellow/,
VA,,,state,3/19/2020,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
AK,,,state,3/28/2020,Shelter in Place,start,"Stay at home, effective March 28 at 5 p.m. ""We crossed a line today,"" Gov. Mike Dunleavy said, issuing instructions for people to stay home or remain six feet or more from one another when outside. The mayor of Anchorage had previously asked residents to ""hunker down.""",manual,
FL,Miami-Dade,12086,county,7/9/2020,Mask Requirement,start,Policy_Details: Amendment No. 2 to Miami Dade County Emergency Order 26-20 by County Mayor Carlos A. Giménez signed 7/7- All individuals at gyms/fitness centers to wear face coverings at all time.    Source information: https://www.miamidade.gov/information/library/07.07.20-amendment-2-to-26-20.pdf,sip_submission_form: https://www.miamidade.gov/information/library/07.07.20-amendment-2-to-26-20.pdf,
FL,Palm Beach,12099,county,7/3/2020,Outdoor and Recreation,start,"Policy_Details: Emergency Order 13 by County Administrator: Following the footsteps of its South Florida neighbors, Palm Beach County beaches will be closed starting Friday through Sunday, ahead of the Fourth of July holiday weekend.

All beaches, no matter if they are municipal or private, will be closed. Restaurants and shops inside beach parks will be allowed to operate but must continue to abide by the mask mandate and physical distancing guidelines. 
12:01 a.m. on Friday, July 3, to 11:59 p.m. on Sunday, July 5   Source information: http://discover.pbcgov.org/PDF/COVID19/PBC-EO-13.pdf, https://www.palmbeachpost.com/news/20200629/coronavirus-florida-palm-beach-county-beaches-to-close-starting-friday, https://www.usatoday.com/story/travel/news/2020/06/29/florida-closes-beaches-july-4th-weekend-covid-19-rates-surge/3277800001/","sip_submission_form: http://discover.pbcgov.org/PDF/COVID19/PBC-EO-13.pdf, https://www.palmbeachpost.com/news/20200629/coronavirus-florida-palm-beach-county-beaches-to-close-starting-friday, https://www.usatoday.com/story/travel/news/2020/06/29/florida-closes-beaches-july-4th-weekend-covid-19-rates-surge/3277800001/",
ND,Traill,38097,county,9/3/2020,Food and Drink,start,"Policy_Details: - Operate under heightened hygiene and cleaning standards.
- Resume to normal capacity and operations.
- Monitor employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
NE,,,state,5/4/2020,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
AL,,,state,3/23/2020,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
NE,Gosper,31073,county,3/31/2020,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
TX,Hale County,48189,county,3/31/2020,Shelter in Place,start,Hale County Policy Start,wikidata,
NE,Cherry,31031,county,4/1/2020,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
ND,McIntosh,38051,county,9/3/2020,Childcare (K-12),start,"Policy_Details: - Operate under heightened hygiene & cleaning standards.
- Monitor children and employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
PA,Delaware,42045,county,6/26/2020,Phase 2,start,"Policy_Details: Delaware County is going into the green phase on June 26 Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/",sip_submission_form: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/,
TX,Briscoe County,48045,county,4/7/2020,Shelter in Place,start,Briscoe County Policy Start,wikidata,
ND,Divide,38023,county,9/3/2020,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo) & Retail
- Operate under heightened hygiene and cleaning standards.
- Monitor employees for symptoms.
- Resume to normal capacity of foodservice operations while continuing to follow new protocols.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
MN,,,state,5/10/2020,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
IN,,,state,3/25/2020,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
MO,Jackson,29095,county,5/11/2020,Entertainment,start,"Policy_Details: Barber/Salons: Open(with limitations), Venues: Closed, Gyms: Open (25/10% capacity), Retail: Open (25/10% capacity), Restaurants & Bars: Open (25/10% capacity)   Source information: https://www.jacksongov.org/DocumentCenter/View/6767/Phase-1-Recovery-Plan-Revised-May-12-2020",sip_submission_form: https://www.jacksongov.org/DocumentCenter/View/6767/Phase-1-Recovery-Plan-Revised-May-12-2020,
MO,Jackson,29095,county,6/1/2020,Phase 2,start,"Policy_Details: LARGE GATHERINGS NO MORE THAN 50 PEOPLE Open (50% capacity): Food and Drink, Houses of Worship, Gyms and Fitness, Personal Care, Retail, Theaters Closed: All schools, Phase Level: 2, Phase Details Source information: https://www.jacksongov.org/1191/Eastern-Jackson-County-Recovery-Overview",sip_submission_form: https://www.jacksongov.org/1191/Eastern-Jackson-County-Recovery-Overview,
ND,Renville,38075,county,9/3/2020,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo) & Retail
- Operate under heightened hygiene and cleaning standards.
- Monitor employees for symptoms.
- Resume to normal capacity of foodservice operations while continuing to follow new protocols.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
ND,Divide,38023,county,9/3/2020,Phase 5,start,"Policy_Details: - Most normal activity can resume, with standard precautions and awareness of health
guidelines such as routine hand washing, stay home when sick, cover your cough, education, stockpiling, planning, routine health alerts, etc. 
- Monitoring for illness and outbreaks will continue. 
- Those found to be ill will be asked to self-isolate and contacts will be asked to remain at home.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
MI,Roscommon,26143,county,7/31/2020,Entertainment,start,"Policy_Details: Region 6 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
TX,Hockley County,48219,county,3/31/2020,Shelter in Place,start,Hockley County Policy Start,wikidata,
HI,,,state,3/30/2020,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NY,Allegany,36003,county,6/16/2020,Non-Essential Businesses,start,Policy_Details: personal care may reopen   Source information: https://forward.ny.gov/phase-three-industries,sip_submission_form: https://forward.ny.gov/phase-three-industries,
MS,Madison,28089,county,7/13/2020,Outdoor and Recreation,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
AL,,,state,3/19/2020,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
IL,Washington,17189,county,8/18/2020,Non-Essential Businesses,start,Policy_Details: remote work for as many workers as possible: businesses and establishments shall institute remote work for high-risk individuals and shall evaluate whether additional workers can telework   Source information: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx,sip_submission_form: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx,
ND,Traill,38097,county,9/3/2020,Childcare (K-12),start,"Policy_Details: - Operate under heightened hygiene & cleaning standards.
- Monitor children and employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
TX,Terry County,48445,county,4/3/2020,Shelter in Place,start,Terry County Policy Start,wikidata,
ID,,,state,3/26/2020,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NE,,,state,3/13/2020,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
GA,Fulton,13121,county,4/1/2020,Non-Essential Businesses,start,Policy_Details: Source provides information on both the Fulton County stay at home order that started on April 1 and the Georgia stay at home order. Both are now expired. Fulton county is aligned with Georgia for reopening.   Source information: https://www.fultoncountyga.gov/covid-19,sip_submission_form: https://www.fultoncountyga.gov/covid-19,
NE,Dundy,31057,county,4/3/2020,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
ND,McIntosh,38051,county,9/3/2020,Food and Drink,start,"Policy_Details: - Operate under heightened hygiene and cleaning standards.
- Resume to normal capacity and operations.
- Monitor employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
MS,Sunflower,28133,county,7/13/2020,Day Care,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
MS,Sunflower,28133,county,7/13/2020,Entertainment,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
PA,Lancaster County,42071,county,3/27/2020,Shelter in Place,start,Lancaster County Policy Start,wikidata,
OR,,,state,3/22/2020,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
CT,,,state,3/19/2020,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
AK,,,state,3/19/2020,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
ID,Bear Lake,16007,county,6/13/2020,Day Care,start,Policy_Details: Accommodate staff at high risk for contracting the virus. Monitor staff health. Staff wear masks. Implement physical distancing measures like not mixing groups of students and staggering arrival/drop off times. Routine cleaning and sanitation of employee and student hands. Have children wash hands on arrival and departure.    Source information: https://rebound.idaho.gov/wp-content/uploads/2020/04/stage1-protocols-childcare.pdf,sip_submission_form: https://rebound.idaho.gov/wp-content/uploads/2020/04/stage1-protocols-childcare.pdf,4
TX,,,state,3/30/2020,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
CT,,,state,3/16/2020,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
HI,,,state,4/26/2020,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MS,Grenada,28043,county,7/13/2020,Manufacturing,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
OH,Scioto,39145,county,7/17/2020,Mask Requirement,start,Policy_Details: new counties upgraded to Red Alert Level 3 mandated to wear masks in public    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/19-red-alert-level-three-counties,sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/19-red-alert-level-three-counties,
OR,Benton,41003,county,6/5/2020,Houses of Worship,start,"Policy_Details: opening of recreational sports; pools; venues like movie theaters, bowling alleys, and arcades; some additional in-office work; bars and restaurants able to stay open until midnight; social, civic, and faith-based gatherings can meet in larger, physically-distanced groups. Phase Level: 2, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase2",sip_submission_form: https://govstatus.egov.com/reopening-oregon#phase2,3
LA,,,state,5/1/2020,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
FL,,,state,3/9/2020,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
ND,McLean,38055,county,9/3/2020,Food and Drink,start,"Policy_Details: - Curbside pickup, takeout, and delivery options preferable.
- Dine-in service limited to 50% of normal seating capacity with extreme caution.
- Pre-screen and monitor employees for symptoms.
- No more than 10 people per table.
- Masks and social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
NH,,,state,3/18/2020,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
TX,Limestone County,48293,county,4/2/2020,Shelter in Place,start,Limestone County Policy Start,wikidata,
NC,Buncombe County,37021,county,3/27/2020,Shelter in Place,start,Buncombe County Policy Start,wikidata,
ID,,,state,4/6/2020,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
VT,,,state,3/30/2020,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
CO,,,state,4/30/2020,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
NM,,,state,3/24/2020,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,BU COVID-19 State Policy Database,
MI,Otsego,26137,county,7/31/2020,Outdoor and Recreation,start,"Policy_Details:  indoor swimming pools, arcades, bowling alleys, and climbing facilities in Region 6 open at 25% capacity or 250 people (whichever is smaller)   Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
AL,,,state,7/16/2020,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
